Topic,Count,Name,Representation,Representative_Docs
-1,4133,-1_langgan_barang_batik_bisnis,"['langgan', 'barang', 'batik', 'bisnis', 'transaksi', 'toko', 'lapor', 'jual', 'catat', 'laundry']","['toko anis batik usaha gerak bidang fashion barang produksi toko aneka batik konsumen toko anis batik kota yogyakarta batas information toko konsumen information lengkap akurat produk tawar efektif promosi ret salah lapor toko anis batik strategi tingkat jual mudah buat lapor implementasi ecommerce application ecommerce atas masalah model application struktur diagram konteks dfd flow diagram milik fasilitas member admin member milik fasilitas beli barang pilih bayar transfer tunai paypal retur barang admin milik fasilitas master lapor transaksi alpha blackbox beta wawancara admin sebar kuesioner kalang biasa pakai internet unjung member ambil simpul jual online toko anis batik promosi produk efektif tingkat pasar mudah information lengkap akurat produk toko sedia lapor olah transaksi jual kirim akurat efisien', 'bee computer beecom usaha gerak bidang bisnis jual baik kota bandung toko beecom layan butuh transaksi langgan luar kota langgan toko butuh sarana sampai information barang jual langgan mana tunggu langgan toko butuh sarana langgan spesifikasi sesuai butuh langgan meminimalisir salah catat jual mudah buat lapor metodologi tulis kuantitatif tahap literatur wawancara kuesioner observasi tahap buat perangkat lunak waterfall analisis alir struktur dfd flow diagram gambar model fungsional erd entitiy relationship diagram gambar model hubung data tahap ancang tindak lanjut alpha beta alpha black box beta wawancara kuesioner bangun application ecommerce langgan transaksi toko mudah information barang jual langgan spek sesuai butuh mudah toko kelola transaksi jual mudah toko buat lapor', 'iring jalan kembang teknologi information kembang pesat butuh penuh butuh information teknologi tingkat pesat cari information information usaha produk buka browser internet smartphone jarang app store play store hasil temu halaman website application muncul halaman cari jadi laku umkm manfaat sempat pasar produk website user smartphone akses website milik network internet lancar terkadang user milik internet faktor lokasi tinggal internetnya faktor cuaca buat website mesan teknologi progressive web apps pwa solusi konsumen admin umkm kelola mesan manajemen transaksi pesan efektif buat mesan sdlc development life cycle tahap utama siklus hidup kembang development life cycle tahap analisis rencana butuh analisis desain seleksi implementasi sitem model kembang model waterfall application perangkat lunak php hypertext preprocessor dukung database mysql web server laragon terap teknologi pwa mudah interaksi client server alam interaktif user online offline layak application mobile native']"
0,1306,0_guru_siswa_sekolah_materi,"['guru', 'siswa', 'sekolah', 'materi', 'elearning', 'akademik', 'didik', 'smk', 'ajar ajar', 'beasiswa']","['smk putra pajajaran sekolah teknologi information milik fasilitas didik lengkap ajar smk putra pajajaran kendala kurang media distribusi materi ajar sesuai kurikulum laku lambat nilai uji siswa sulit komunikasi guru siswa materi ajar tahu sulit kepala sekolah guru monitoring siswa uji masalah butuh media ajar tunjang giat ajar ajar ruang kelas bangun perangkat lunak bangun elearning waterfall literatur observasi wawancara rancang application ancang struktural buat entity relationship diagram erd buat flow diagram dfd buat perangkat lunak php bahasa script halaman website mysql database simpan application pasu data blackbox alpha beta user perangkat lunak elearning ajar ajar optimal mudah guru distribusi materi ajar siswa smk putra pajajaran siswa mudah materi ajar elearning jadi media diskusi tambah bahas materi ajar tuntas soal uji pilih ganda kumpul tugas guru kepala sekolah monitoring siswa', 'ajar sma bina dharma bandung ruang kelas ajar pusat batas sekolah picu maksimal beri materi guru halang hadir kurang komunikasi siswa guru diskusi materi ajar sampai materi ajar guru tarik perhati siswa timbul jenuh ajar selesai kendala bangun elearning website terap ajar kolaborasi collaborative learning mudah guru materi sedia kelompok ajar fasilitas ajar siswa mudah siswa guru komunikasi dalam forum sedia sampai materi ajar interaktif kembang application elearning kembang perangkat lunak waterfall literatur lapang analis butuh ancang bangun aplikasi model analisis perangkat lunak model analisis struktur alat tools dfd flow diagram erd entity relationship diagram flow map layak application langkah alpha jalan sesuai fungsi beta respon user siswa sma bina dharma bandung layak application alpha beta elearning sma bina dhama bandung simpul nilai maksimal guru materi sedia kelompok ajar fasilitas ajar siswa siswa paham materi ajar mudah guru siswa komunikasi dalam forum', 'smk abdi bangsa sekolah teknologi information milik fasilitas didik lengkap laksana ajar sifat konvensional smk abdi bangsa sukabumi ajar ajar siswa guru syarat temu siswa guru kelas ajar ajar andal tatap muka kelas anggap efektif terkadang guru halang hadir materi siswa muncul kurang percaya siswa lontar ajar ajar sulit kepala sekolah memonitoring aktifitas guru ajar kembang elearning elearning ajar distribusi bahan ajar kelas internet maksimal ajar kelas batas metodologi bangun perangkat lunak bangun elearning waterfall literatur observasi interview wawancara topik ambil rancang application ancang struktural buat entity relationship diagram erd buat flow diagram dfd rancang dokumentasi perangkat lunak alir buat perangkat lunak php bahasa script halaman website mysql database simpan pasu data blackbox alpha beta user perangkat lunak elearning ajar ajar optimal mudah guru distribusi materi ajar siswa smk abdi bangsa sukabumi siswa mudah materi ajar elearning jadi media diskusi tambah bahas materi ajar tuntas soal uji pilih ganda kumpul tugas guru kepala sekolah monitoring aktifitas guru']"
1,555,1_game_main_musuh_npc,"['game', 'main', 'musuh', 'npc', 'finite state', 'fsm', 'finite', 'player', 'state machine', 'main main']","['media main game popular konsol game komputerdan smartphone komputeradalah media kembang industri game luncur produk main musuh elemen video game jadi game realistis karakter npc non playable character satu musuh game tiru sifat manusia hewan dunia cerdas buat karakter npc non playable character musuh cerdas buat fsm finite state machine cerdas buat fsm finite state machine karakter musuh deteksi ada player cerdas buat fuzzy logic output aksi serang musuh player buat game game engine unity3d ngan terap keqerdasan buat gzy logic fuzzy lqgic karakter npc non playable character karakter gera cerdas dukung game karakter boss fuzzy logic cerdas buat fsm finite state machine jadi aksi cerdas buat fsm finite state machine game karakter npc non playable characte1 deteksi ada player cerdas buatanfuzzy logic output aksi tentu aksi serang musuh libat user game', 'cerdas buat artificial intlegence guna grafis lahir genre game tarik main dekstop kembang main application mobile game hibur gari kalang anak dewasa game jenis populer main tualang main jalan tuntut waspada selesai game ber-genre adventure milik alur cerita tarik game adventure guardian hibur main main game konflik player enemy tuntut waspada tenang selesai main game ber genre adventure buat game adventure guardian fsm finite state machine cerdas buat artificial intelligence ambil putus karakter npc non playable character karakter gera cerdas buat libat control main game game jalan microsoft windows windows windows windows windows implementasi finite state machine fungsi game software unity3d jalan sesuai game user rata aspek', 'finite state machine fsm metodologi ancang kontrol gambar tingkah prinsip state event jadi action aksi metodologi ancang kontrol terap fsm perangkat lunak game fsm nilai batas pindah cocok game adventure trapped miners game game desktop genre tualang sub-genre simulasi grafis dimensi kembang game tools unity3d bahasa pemrograman sharp real game terap finite state machine tentu respon karakter non-player character beda gantung interaksi main game game engine unity3d terap cerdas buat fsm finite state machine fsm finite state machine karakter npc non playable character karakter gera cerdas buat dukung game karakter enemy boss jadi aksi cerdas buat fsm finite state machine game adventure trapped miners karakter npc non playable character deteksi ada player tentu aksi serang musuh libat user game persentase capai hasil']"
2,468,2_tanam_tani_hama_sakit tanam,"['tanam', 'tani', 'hama', 'sakit tanam', 'tanah', 'hama sakit', 'jeruk', 'padi', 'panen', 'buah']","['abstrak zaka kharis kelompok tingkat matang buah kakao fitur warna kmeans clustering elektro negeri malang bimbing heru wahyu herwanto kom kunci kmeans clustering clustering buah kakao matang buah kakao komoditas unggul nasional ekspor sub sektor kebun tempat luas areal besar sub sector kebun kelapa sawit kelapa karet buah kakao panen capai umur fase serbu ubah warna kulit buah kakao bagi kelompok criollo forastero trinitario dasar warna buah kakao buah kakao muda warna hijau putih masak warna kuning buah kakao muda warna merah masak warna jingga perhati panen buah kakao tingkat matang buah pengaruh pemerosesan buah kakao konsumsi daerah kebun kakao indonesia upaya budidaya pariwisata buka wisata edukasi kakao bibit tanam panen kakao coklat wisatawan cenderung tarik petik buah kakao konsumsi jadi oleh masalah wisatawan buah kako panen aspek nilai hambat tumbuh subur kakao kualitas biji kakao coklat tidak tepat salah panen buah kakao masalah teliti kelompok tingkat kematangnan buah kakao kmeans clustering terap citra fitur warna smartphone kelompok tingkat matang buah kakao warna kulit buah jenis kakao kakao trinitario tingkat matang kelompok kelas mentah matang klasifikasi preprocessing cropping citra kecil ukur citra ambil warna citra warna clustering clustering latih gambar uji gambar latar warna putih application tani user masyarakat kelompok kmeans clustering akurasi application tani simpul application mudah tentu matang buah kakao user application masyarakat application mudah masyarakat matang buah kakao', 'indonesia negara agraris negara duduk profesi tani sektor tani topang ekonomi indonesia jagung zea mays komoditas tani sumber karbohidrat beras bahan pangan jagung konsumsi bahan pakan ternak bahan baku industri sakit serang tanam jagung serius industri tani jagung tani jagung dampak rendah produtivitas kualitas jagung gejala jenis sakit serang tanam jagung pra panen modified k-nearest neighbor mk-nn klasifikasi jenis sakit jagung modifikasi k-nearest neighbor knn model pakar mendiagnosa sakit tanam jagung masuk gejala user fungsionalitas akurasi akurasi ubah pengaruh tetangga akurasi mk-nn tingkat akurasi tinggi diagnosa sakit tanam jagung dataset sbesar', 'butuh gula tambah iring tumbuh konsumsi masyarakat tumbuh sektor makan minum konsumsi gula kristal putih gkp capai juta ton konsumsi gula juta ton septian konsumsi gkp capai juta ton tahun septian produktivitas gula penurunanan turun produktivitas sebab satu turun tingkat rendemen gula kandung gula batang tebu -an indonesia era jaya indutri gula produksi gula capai juta ton ekspor gula juta ton rata rendemen gula capai capai rata rendemen susila curah hujan panen faktor hambat produktivitas tanam tebu serang hama sakit tanam tebu achadian etik batas pakar suluh lapang kurang tahu tani sebab masalah putar hama sakit tebu atas achadian etik batas kondisi pakar mudah tani identifikasi sakit hama tanam tebu pakar mudah tentu jenis sakit sesuai gejala timbul identifikasi sakit ambil simpul diagnosis hitung dempster-shafer masuk gejala fakta user pakar mudah tentu jenis sakit sesuai gejala timbul banding diagnosis diagnosis pakar uji hama sakit tanam tebu milik tingkat sesuai prosentase']"
3,381,3_wisata_wisatawan_pariwisata_objek wisata,"['wisata', 'wisatawan', 'pariwisata', 'objek wisata', 'kunjung', 'daki', 'destinasi', 'tourism', 'lokasi wisata', 'information wisata']","['pulau kei wisata kunjung information perintah masyarakat brosur papan iklan tempat titik sudut kota tuntun wisata detail sifat tunjuk jalan information arah lokasi wisata tuju wisatawan minim fasilitas tunjuk jalan lokasi wisata wisatawan sulit cari lokasi wisata kunjung hambat giat pariwisata bangun information geografis pariwisata pulau kei malu tenggara application mengunakan bahasa pemograman php javascripst google maps api basisdata mysql application tampil information objek wisata serta information jarak rute lokasi objek wisata tampil information fasilitas objek wisata atm spbu hotel cari objek wisata dekat information geografis pariwisata pulau kei malu tenggara mudah user wisatawan cari information objek wisata pulau kei malu tenggara', 'kota jayapura kota provinsi papua letak ujung timur indonesia kota kenal kaya indah alam jaga budaya khas unik tempat tarik kunjung kota jayapura strategis kelola wisata wisata alam wisata kuliner tempat sejarah lancar giat lepas sedia sarana transportasi minim sampai information pariwisata sarana transportasi kota jayapura akibat geliat sektor pariwisata kota jayapura upaya bangkit pariwisata angkut mudah mobilitas masyarakat masyarakat jayapura wisatawan kunjung kota jayapura bingung pilih rute tempuh tuju hotel inap wisatawan information hotel inap sekitar objek wisata application rute pariwisata kota jayapura application wisatawan kunjung jayapura information objek wisata wisata alam wisata kuliner rekomendasi hotel dekat wisata wisatawan', 'labu bajo kota kabupaten manggarai barat letak pulau flores nusa tenggara timur labu bajo simpan ragam indah wisata bahari dalam labu bajo kota destinasi wisata kenal hewan purba komodo resmi wonder nature pariwisata labu bajo bangun besar tahun labu bajo kunjung wisatawan wisatawan lokal indonesia wisatawan mancanegara banyak wisata tawar labu bajo wisatawan terkadang bingung tentu pilih wisata kunjung seringkali putus kunjung wisata kadangkala wisatawan wisata kunjung sesuai ingin wistawan kadang puas kunjung wisata wisatawan pilih wisata tuju sebab kurang information kembang teknologi pesat butuh wisatawan information rekomendasi wisata information cepat akurat bangun rekomendasi pariwisata rekomendasi wisata wisatawan rekomendasi item-based collaborative filtering cari sama item obyek wisata algoritma adjusted cosine similarity sama tinggi jadi acu beri rekomendasi bahasa pemrograman php laravel versi rekomendasi potensi wisata sesuai wisatawan rekomendasi information kait potensi wisata information decryption wisata foto alamat peta destinasi wisatawan mudah wisata sesuai wisatawan puas bantu']"
4,357,4_usability_antarmuka_tingkat usability_progressive web,"['usability', 'antarmuka', 'tingkat usability', 'progressive web', 'progressive', 'desain', 'user experience', 'design', 'puas user', 'user interface']","['application pet care edar play store app store application pet care penuh usability application application aspek usability penuh application pet care application 11pets milik masalah usability desain intuitif atas prototipe desain interaksi application pet care user- centered design wawancara desain interaksi detail perilaku user user turun hal butuh fungsional application ukur capai usability application indikator usability goals user experience goals usability goals application effective use easy learn user experience goals helpful ukur capai usability application usability goals experience goals metrik usability scale sus single easy question seq task completion rate intrinsic motivation inventory imi iterasi iterasi skor sus skor seq skala skor task completion rate skala skor imi sub skala value usefulness metrik desain application capai usability goals user experience goals desain application rancang desain application selesai desain intuitif', 'kembang teknologi pesat kembang application mobile bukti application mobile google play store appstore application mobile kalang kuliah negeri malang kembang application umobile sayang negeri malang application sebab user interface dampak user experience user interface user interaksi user interface terap desain user experience terap design thinking pecah masalah kompleks alami user terap solusi kreatif inovatif tingkat user experience application umobile baik user interface design thinking identifikasi karakteristik user lewat tahap tahap cari masa user hasil teliti ide solusi masalah tahap ancang ulang user interface application umobile application figma tahap ancang ulang tahap teliti observasi google play store kumpul ulas rating user observasi saran baik tahap isi kuisioner sus negeri malang kuisioner application umobile skor baik teliti user persona user journey map jobs done tahap design thinking definisi masalah tahap tahap teliti affinity diagram kelompok ide muka mudah ancang ulang information architecture tahap guna fondasi ancang ulang tahap empat teliti rancang desain application umobile ancang wireframe high-fidelity design prototype design selesai prototype tahap teliti application maze design usability task teliti usability tingkat hasil task rata durasi sekon tingkat salah user teliti kuisioner tahap banding ancang ulang kuisioner skor sus poin ancang ulang guna design thinking tingkat user experience baik user interface application umobile', 'register haji plus umrah global tour travel manual nilai efisien segi mudah rancang kembang register online website user experience tingkat efektivitas efisiensi puas user design thinking cakup tahap empathize define ideate prototype libat partisipan ukur tingkat completion rate efisiensi time-based efficiency puas user user experience questionnaire ueq hasil capai tingkat tanda efektivitas efisiensi goals second hitung time-based efficiency tbe kategori cepat relative efficiency ore performa optimal evaluasi puas user user experience questionnaire ueq skor excellent aspek kecuali perspicuity skor good skor aspek attractiveness perspicuity efficiency dependability stimulation novelty indikasi desain tarik mudah efisien andal senang inovatif']"
5,220,5_twitter_tweet_media sosial_sentimen,"['twitter', 'tweet', 'media sosial', 'sentimen', 'opini', 'sosial', 'analisis sentimen', 'komentar', 'negatif', 'netral']","['analis sentimen masyarakat tutup tiktok shop media sosial kumpul tanggal september november na ve bayes classifier klasifikasi sentimen masyarakat tutup tiktok shop kelompok sentimen kategori positif negatif netral tahap analisis sentimen ambil tweet harvest label textblob preprocessing case folding tokenizing normalization stopword removal stemming tweet klasifikasi na ve bayes classifier model confusion matrix tweet label preprocessing user media sosial komentar positif komentar netral komentar negatif terap na ve bayes classifier klasifikasi sentimen akurasi rasio model confusion matrix rata weighted average precision recall', 'analis sentimen masyarakat layan provider telkomsel media sosial kumpul tanggal januari april na ve bayes classifier klasifikasi sentimen masyarakat service provider telkomsel kelompok sentimen kategori positif negatif netral tahap analisis sentimen ambil tweet harvest label laxicon preprocessing cleaning case folding normalization tokenizing stopword removal stemming tweet klasifikasi na ve bayes classifier model confusion matrix tweet label preprocessing user media sosial komentar positif komentar netral komentar negatif terap na ve bayes classifier klasifikasi sentimen akurasi rasio model confusion matrix rata weighted average precision recall fi-score', 'analisis sentiment opini dapat presepsi kandung sentimen positif netral negatif jadi information information ambil media sosial postingan masyarakat media sosial analisis twitter mudah guna timbang agam alat tentu bijak opini masyarakat tes cpns opini dapat penyelenggaran tes cpns opini user twitter tes cpns dianalisa tentu pandang positif negatif netral isi opini masyarakat tes cpns text preprocessing cleansing stopword removal stemming na ve bayes classifier klasifikasi teks na ve bayes classifier akurasi klasifikasi tweet tes cpns klasifikasi na ve bayes classifier akurasi tes cpns']"
6,217,6_bahan baku_baku_produksi_bahan,"['bahan baku', 'baku', 'produksi', 'bahan', 'supplier', 'gudang', 'sedia bahan', 'supply chain', 'supply', 'chain']","['riade sumber energi usaha produksi air mineral jenis cup botol galon produk hasil riade sumber energi pasar diaerah bandung timur usaha rangkai terima mesan agen mesan bahan baku supplier terima bahan baku supplier kelola bahan baku barang mesan bahan baku supplier milik jeda tunggu capai mesan bahan baku terima usaha gudang seringkali lambat terima bahan baku kurang stok produk agen terkadang mes produk usaha sulit tentu bahan baku siap penuh butuh pasok produk masalah atas atas masalah bangun information distribusi air mineral softride riade sumber energi supply chain management tuju mudah usaha tentu bahan baku siap penuh butuh pasok produk rencana produksi produksi jalan lancar hindar kurang kosong stok produk gudang riade sumber energi distribusi produk jalan lancar amal single exponential smoothing hitung tentu sedia produk safety stock riade sumber energi tentu bahan baku pes kendali produk bahan baku information kirim produk tuju mesan produk ada bahan baku', 'pusaka usaha gerak bidang produksi permen gulali coklat letak kabupaten garut provinsi jawa barat pusaka milik konsumen pasar sebar daerah lampung jawa barat kalimantan dki jakarta pusaka produksi jenis permen gulali permen gulali coklat gulali kacang jual produk konsumen bulan tentu akibat produksi sulit bahan baku mesan bahan baku supplier kendala kirim kirim bahan baku milik jeda tunggu capai tujuh puluh sebab hambat produksi kirim produk konsumen lambat tuju mudah kepala produksi tentu bahan baku pes supplier penuh butuh jual produk mudah kepala gudang tentu distribusi jadwal kirim distribusi produk strategi supply chain usaha push supply chain usaha produksi mass product rantai pasok hulu upstream hilir downstream amal butuh bahan baku single exponenstial smoothing hitung prediksi dian bahan baku gudang aman sedia safety stock mesan bahan baku lelang tender mesan penting temu salah kurang information blackbox kepala produksi tentu butuh bahan baku pes supplier penuh butuh produksi mudah kepala gudang rencana produk distribusi produk konsumen', 'asih hati furniture usaha gerak bidang industri kerja barang buat kayu barang jasa dagang utama produksi kursi meja lemari loster kusen pintu jendela produk kayu produksi asih hati furniture pesan konsumen asih hati furniture ada bahan baku supplier penuh butuh produk pes konsumen kira bahan baku pes seringkali sulit ketidakpastian minta produk konsumen bahan baku milik kategori bahan baku milik stok milik stok ada bahan baku supplier cek sedia bahan baku gudang cegah lebih kurang bahan baku masalah timbul jadwal kirim produk konsumen serta information kendara sedia bangun mudah ada tentu kira mesan bahan baku supplier mudah kirim atur jadwal kirim produk serta kendara sedia strategi supply chain pull supply chain mesan bahan baku produksi minta pasar benar minta konsumen make order amal minta produk single exponential smoothing hitung prediksi sedia bahan baku gudang guna aman sedia safety stock rencana belia bahan baku eoq jadwal kirim produk sesuai atur bisnis usaha kelola daftar pesan produk konsumen mesan bahan baku supplier tentu jadwal kirim serta kendara']"
7,186,7_surat_desa_arsip_surat terang,"['surat', 'desa', 'arsip', 'surat terang', 'perintah', 'surat surat', 'perintah desa', 'information desa', 'duduk', 'warga']","['wilayah camat ciwidey tujuh desa desa ciwidey desa panyocokan desa sukawening desa nengkelan desa rawabogo desa lebakmuncang desa panundaan wilayah camat ciwidey wadah seragam information desa manfaat teknologi network internet sebab beda saji information desa cms e-desa service software service cloud computing public service seragam pakai demand desa duduk information desa bentuk dokumen manual sulit perintah desa akses duduk cepat mudah sampai information butuh jarak duduk perintah tingkat lapor lahir mati pindah duduk desa surat terang konvensional akibat arsip susun sulit perintah desa akses butuh service software service e-desa cloud computing wadah seragam information desa public service seragam pakai demand desa service duduk information desa mudah lapor lahir mati pindah duduk desa surat terang service software service e-desa cloud computing wadah seragam information desa wilayah camat ciwidey desa duduk information desa mudah lapor lahir mati pindah duduk desa surat terang', 'information desa component selenggara layan perintah desa masyarakat desa ada butuh hubung masyarakat desa layan perintah desa catat duduk layan masyarakat butuh surat perlu administrasi duduk milik desa sendowo duduk lahir mati warga pindah warga datang kartu keluarga tulis buku bentuk dokumen microsoft word microsoft excel duduk baru duduk periode administrasi desa ecek baru kendala hadap file duduk resiko hilang rusak fasilitas layan masyarakat cepat guna mudah layan perintah desa kelola duduk website bahasa pemrogrman php laravel software mysql database kelola duduk kartu keluarga lahir mati duduk datang duduk pindah staff desa user pegawai layan kepala desa hasil lapor duduk lapor kartu keluarga lapor lahir lapor mati lapor duduk datang lapor duduk pindah lapor keseluruah bentuk periode hasil terima warga surat lahir surat mati surat duduk datang surat duduk pindah', 'information desa component selenggara layan perintah desa masyarakat desa ada butuh hubung masyarakat desa layan masyarakat desa giat perintah desa layan masyarakat hubung administrasi duduk surat surat layan perintah desa catat duduk layan masyarakat butuh surat perlu administrasi banyak duduk desa mekar kendala cari duduk banyak format surat kendala keluar surat dokumentasi duduk surat keluar bentuk hardcopy resiko rusa fasilitas layan masyarakat desa online masyarakat mudah layan perintah desa kelola duduk web bahasa pemrograman php laravel software mysql database kelola wilayah duduk keluarga lahir mati datang duduk pindah staff desa identitas desa surat user admin kepala desa menyajkan lapor lapor duduk lapor daftar pilih lapor statistik lapor lahir lapor lahir lapor mati lapor datang lapor duduk pindah lapor rekap surat']"
8,184,8_karyawan_pegawai_rekrutmen_nilai kerja,"['karyawan', 'pegawai', 'rekrutmen', 'nilai kerja', 'lamar', 'kerja karyawan', 'gaji', 'jabat', 'kerja pegawai', 'daya manusia']","['karyawan sumber daya kaya dalam usaha maju usaha usaha kelola sumber daya manusia karyawan milik maju usaha hardi junior nilai kerja karyawan manual putus pimpin nilai kerja karyawannya kompleks karyawan usaha nilai terkadang sulit butuh efektif nilai cenderung subjektif application dukung putus pilih karyawan prestasi profile matching rekomendasi karyawan prestasi rangking fasilitas profile ambil putus bobot kriteria kriteria pilih karyawan prestasi aspek cerdas aspek sikap aspek disiplin implementasi simpul application implementasi profile matching putus alternatif calon karyawan baik sesuai kriteria', 'indo beras unggul usaha gerak bidang beras nilai rekrutmen indo beras unggul subjektif sebab rekrut calon karyawan ganggu kandidat milik mampu terampil subjektifitas singkir beda nilai abjad tes seleksi manager hrd sulit seleksi calon karyawan solusi masalah bangun dukung putus rekrutmen karyawan dukung putus analytical hierarchy process ahp ahp ambil putus tentu prioritas kriteria kriteria rekrutmen karyawan indo beras unggul didik tes psikotes tes potensi akademik tes tulis tes sehat tes wawancara tahap bangun struktur bangun model waterfall analisis ancang flowmap diagram konteks kamus flow diagram konseptual rancang basis entity relationship diagram erd implementasi unit alat borland delphi desain tampil antarmuka mysql database black box wawancara dukung putus rekrutmen karyawan indo beras unggul rekomendasi manager hrd ambil putus layak tidak calon karyawan objektif nilai rekrutmen mudah manager hrd seleksi calon karyawan', 'citra tiara transport usaha gerak bidang travel usaha kembang citra tiara transport butuh tenaga sumber daya manusia sdm kualitas sdm kualitas rekrut kelola manajemen usaha prosedur rekrut pegawai jalan seleksi satu lamar butuh pilih tentu calon pegawai kompeten nilai rekrutmen citra tiara transport subyektif sebab rekrut calon pegawai ganggu kandidat milik mampu terampil subyektifitas singkir beda nilai tes seleksi manager hrd staff hrd sulit seleksi calon pegawai solusi masalah atas bangun application dukung putus rekrutmen pegawai dukung putus analytical hierarchy process ahp ahp ambil putus tentu prioritas kriteria literature observasi wawancara masalah kait model analisis alir struktur flows diagram dfd entity relationship diagram erd application web database management dbms mysql application mudah obyektif nilai rekrutmen calon pegawai mudah manager hrd staff hrd seleksi calon pegawai']"
