Topic,Count,Name,Representation,Representative_Docs
-1,4387,-1_batik_digital_langgan_tiket,"['batik', 'digital', 'langgan', 'tiket', 'toko', 'presensi', 'lapor', 'mesan', 'barang', 'bisnis']","['toko anis batik usaha gerak bidang fashion barang produksi toko aneka batik konsumen toko anis batik kota yogyakarta batas information toko konsumen information lengkap akurat produk tawar efektif promosi ret salah lapor toko anis batik strategi tingkat jual mudah buat lapor implementasi ecommerce application ecommerce atas masalah model application struktur diagram konteks dfd flow diagram milik fasilitas member admin member milik fasilitas beli barang pilih bayar transfer tunai paypal retur barang admin milik fasilitas master lapor transaksi alpha blackbox beta wawancara admin sebar kuesioner kalang biasa pakai internet unjung member ambil simpul jual online toko anis batik promosi produk efektif tingkat pasar mudah information lengkap akurat produk toko sedia lapor olah transaksi jual kirim akurat efisien', 'information administrasi uang sekolah atur periksa kelola kendali cari simpan uang sekolah mts yanuris linggapura sekolah swasta kabupaten brebes kelola uang sekolah tangan bendahara sekolah kontrol ketua tata usaha bendahara sekolah kelola dana keluar pasu sekolah kelola dana honor guru rekapitulasi bayar uang sumbang bina didik spp masalah temu penggelolaan uang transparasi uang efisien lapor arsip lapor bentuk kertas hilang masalah buat application website kurang buat lapor kembang sekolah mts yanuris linggapura prototype kembang tahap analisis butuh implementasi tahap analisis butuh butuh fungsional terasi tahap prototype tahap implementasi bahasa pemrograman php kerangka codeigniter tahap fungsional non fungsional fungsional unit hasil jalur uji integrasi hasil jalur uji validasi valid uji non fungsional usability usability scale sus skor admin bendahara kepala sekolah guru siswa skor tunjuk terima user compatibility jalan browser google chrome versi', 'farmer invaders toko jual pakai distro toko milik langgan kota bandung jalan usaha toko kendala promosi barang farmer invaders konvensional promosi produk relasi maksimal tingkat promosi jual buat lapor tinggi saing bisnis harus toko farmer invaders baru tinggal toko selesai masalah butuh teknologi strategi pasar jual sedia jasa kembang dagang elektronik ecommerce ecommerce terjemah transaksi jual beli media elektronik online buat ecommerce farmer invaders solusi bisnis dagang information produk dukung langgan sedia cepat meminimalisir guna kertas catat arsip selesai masalah usaha promosi produk guna website ecommerce akses langgan hubung network internet model analisis bangun website analisis struktur alat bantu flowmap entity relationship diagram erd gambar diagram flow diagram dfd blackbox alpha beta website ecommerce luas cakup pasar produk farmer invaders mudah konsumen information produk online tingkat efisiensi efektifitas promosi produk konsumen mudah toko farmer invaders buat lapor']"
0,570,0_game_main_npc_musuh,"['game', 'main', 'npc', 'musuh', 'finite state', 'finite', 'player', 'main game', 'state machine', 'main main']","['game hibur gari kalang anak dewasa game jenis populer main tualang main tualang milik jalan cerita main tualang main penasaran cerita game tualang game adventure cowboys form nowhere main tualang main jalan karakter cowboy selamat bumi hancur asai alien jahat ikut game game engine unity3d terap cerdas buat fsm finite state machine fsm finite state machine karakter npc non playable character karakter gera cerdas buat dukung game karakter enemy boss jadi aksi cerdas buat fsm finite state machine game adventure cowboys nowhere karakter npc non playable character deteksi ada player tentu aksi serang musuh libat user game beda', 'kembang teknologi maju kembang teknologi bidang satu game main game aktifitas sifat hibur senang kembang game pesat game main game sederhana game rumit buat game milik artificial intelligence cerdas buat artificial intelligence bidang ilmu tindak manusia dalam game rekayasa interaksi musuh seoalah-olah tindak merespon makhluk hidup fsm finite state machine prinsip kerja state event jadi action aksi game hunt life musuh fungsi cerdas buat musuh merespon interaksi main dalam buat game dimensi butuh software model objek dimensi software model dimensi buat game software blender game engine bangun game software unity3d unity3d application kembang game multi desain mudah selesai game hunt life implementasi fsm finite state machine game dimensi genre fps first person shooter adventure survival indikasi musuh interaksi player kondisi hasil respon musuh dalam game hunt life jalan sesuai rancang cerdas buat game hunt life jalan desktop kembang saran game main mobile operasi android ios', 'media main game konsol game computer smartphone computer satu media kembang industri game keluar produk game musuh karakter elemen video game jadi game tarik karakter npc non playable character satu musuh game tiru sifat perilaku manusia dunia unt cerdas buat karakter npc non playable character musuh cerdas buat fsm finite state machine cerdas buat fsm finite state machine karakter musuh deteksi ada player cerdas buat fuzzy logic output aksi serang musuh player ancang game application unity3d bahasa pemrograman game terap cerdas buat finite state machine jadi aksi terap cerdas buat fuzzy logic karakter bos non playable character tentu aksi masuk health point player jarak player bos buat game implementasi fsm finite state machine game dimensi genre adventure indikasi musuh kejar serang player kondisi cerdas buat musuh jalan fungsi tombol menu utama jalan fungsi tombol aksi player jalan game laptop asus lenovo acer windows jalan sesuai user malang cheat jalan']"
1,392,1_tanam_tani_hama_sakit tanam,"['tanam', 'tani', 'hama', 'sakit tanam', 'tanah', 'hama sakit', 'cabai', 'lahan', 'padi', 'panen']","['indonesia negara agraris negara duduk profesi tani sektor tani topang ekonomi indonesia jagung zea mays komoditas tani sumber karbohidrat beras bahan pangan jagung konsumsi bahan pakan ternak bahan baku industri sakit serang tanam jagung serius industri tani jagung tani jagung dampak rendah produtivitas kualitas jagung gejala jenis sakit serang tanam jagung pra panen modified k-nearest neighbor mk-nn klasifikasi jenis sakit jagung modifikasi k-nearest neighbor knn model pakar mendiagnosa sakit tanam jagung masuk gejala user fungsionalitas akurasi akurasi ubah pengaruh tetangga akurasi mk-nn tingkat akurasi tinggi diagnosa sakit tanam jagung dataset sbesar', 'pepaya carica pepaya jenis buah tropis kandung vitamin mineral indonesia negara konsisten hasil utama papaya dunia badan pusat statistik produksi buah pepaya indonesia turun banding ton ton utari saraswati turun panen sebab faktor faktor iklim tentu serang hama sakit sisi pakar hama sakit tanam papaya bptp jawa timur prof moh cholil mahfud suluh tani milik paham hama sakit tanam papaya training hama sakit milik gejala tanam papaya serang jenis hama sakit diagnosa hama sakit tanam papaya butuh pakar tani suluh mendiagnosa hama sakit tanam pepaya produksi pepaya tingkat pakar butuh mudah user diagnosa hama sakit tanam papaya dempster-shafer teori matematika bukti belief functions plausible reasoning fungsi percaya pikir akal kombinasi potong information pisah bukti kalkulasi peristiwa dah- user masuk gejala tanam papaya keluar diagnosa hama sakit alami tanam papaya uji validasi fungsional uji akurasi', 'intelligent farming tarik butuh tani dalam olah tani cerdas kreatif indonesia negara milik bidang tani duduk indonesia tani padi jagung bunga sayur mati masyarakat butuh pokok hari budidaya tanam awat tanam rentan sakit tumbuh tanam hambat satu suhu kelembaban pengaruh tanam hadap tani gantung cuaca alam tani muas cuaca harap sesuai kembang dunia eletronika manfaat buat model greenhouse iot internet things alat tani memonitoring controlling suhu lembap cahaya greenhouse jarak tani lansung lokasi tani suhu lebih kapasitas normal greenhouse tanam produksi kenal musim hindar serang hama sakit fungsional jalan microcontroller arduino jalan sensor dht11 suhu eror detik sensor dht11 lembap eror detik sensor ldr eror detik module wifi dala kirim jalan realtime seng akurasi detik website monitoring kontroling broeser mozzila firefox microsoft edge google chrome tampil information halaman']"
2,286,2_materi_materi ajar_guru siswa_guru,"['materi', 'materi ajar', 'guru siswa', 'guru', 'ajar ajar', 'elearning', 'ajar siswa', 'smk', 'siswa', 'negeri']","['sma negeri purwakarta sekolah tengah favorit kota purwakarta terap teknologi giat ajar ajar sma negeri purwakarta guru siswa kelas tatap muka guru materi ajar siswa terus materi ajar giat ajar ajar andal tatap muka kelas anggap efektif temu siswa guru guru sangkut hadir ajar batas sekolah otomatis ajar hambat bangun application elearning elearning ajar distribusi bahan ajar kelas internet kembang information buat perangkat lunak waterfall literatur observasi wawancara topik ambil rancang application ancang struktural buat entity relationship diagram erd buat flow diagram dfd rancang dokumentasi perangkat lunak alir buat perangkat lunak php bahasa script halaman website mysql database simpan pasu data blackbox alpha beta user perangkat lunak elearning ajar ajar optimal mudah guru materi ajar distribusi latih siswa sma negeri purwakarta mudah komunikasi guna mudah kepala sekolah memonitoring kembang ajar siswa mudah ajar mudah milik tampil tarik nyaman', 'smk abdi bangsa sekolah teknologi information milik fasilitas didik lengkap laksana ajar sifat konvensional smk abdi bangsa sukabumi ajar ajar siswa guru syarat temu siswa guru kelas ajar ajar andal tatap muka kelas anggap efektif terkadang guru halang hadir materi siswa muncul kurang percaya siswa lontar ajar ajar sulit kepala sekolah memonitoring aktifitas guru ajar kembang elearning elearning ajar distribusi bahan ajar kelas internet maksimal ajar kelas batas metodologi bangun perangkat lunak bangun elearning waterfall literatur observasi interview wawancara topik ambil rancang application ancang struktural buat entity relationship diagram erd buat flow diagram dfd rancang dokumentasi perangkat lunak alir buat perangkat lunak php bahasa script halaman website mysql database simpan pasu data blackbox alpha beta user perangkat lunak elearning ajar ajar optimal mudah guru distribusi materi ajar siswa smk abdi bangsa sukabumi siswa mudah materi ajar elearning jadi media diskusi tambah bahas materi ajar tuntas soal uji pilih ganda kumpul tugas guru kepala sekolah monitoring aktifitas guru', 'sekolah tengah negeri sman cileunyi satu sma negeri camat cileunyi kabupaten bandung alamat jalan didik sman cileunyi pasuk kelas ipa ips bahasa sekolah milik fasilitas lengkap milik laboratorium koneksi internet ajar giat ajar ajar sman cileunyi siswa guru tatap muka jam ajar kelas guru halang hadir materi ajar siswa sakit perlu tinggal paksa guru gabung materi temu siswa sulit materi penuh kendala kurang sarana interaksi komunikasi guru siswa kelas siswa sulit diskus materi ajar sman cileunyi butuh elearning solusi elearning ajar manfaat media internet guru siswa akses mana halang siswa materi ajar mudah siswa guru maksimal fasilitas forum diskus metodologi buat perangkat lunak bangun elearning waterfall analisis ancang ancang struktural buat entity relationship diagram erd buat flow diagram dfd rancang dokumentasi perangkat lunak alir literatur observasi wawancara topik ambil laku alpha beta elearning sman cileunyi simpul mudah ajar siswa mudah sedia materi sesuai butuh sedia forum online fasilitas komunikasi guru siswa']"
3,265,3_wisata_wisatawan_pariwisata_objek wisata,"['wisata', 'wisatawan', 'pariwisata', 'objek wisata', 'tourism', 'kunjung', 'lokasi wisata', 'destinasi', 'wisata kabupaten', 'information wisata']","['kabupaten belu wisata kunjung information perintah masyarakat brosur papan iklan tempat titik sudut kota tuntun wisata detail sifat tunjuk jalan information arah lokasi wisata tuju wisatawan minim fasilitas tunjuk jalan lokasi wisata wisatawan sulit cari lokasi wisata kunjung hambat giat pariwisata bangun information geografis pariwisata kabupaten belu nusa tenggara timur application bahasa pemrograman php javascript google maps api basis mysql application tampil information objek wisata serta information jarak rute lokasi objek wisata tampil information fasilitas objek wisata atm spbu hotel cari objek wisata dekat information geografis pariwisata kabupaten belu nusa tenggara timur mudah user wisatawan cari information objek wisata kabupaten belu nusa tenggara timur', 'kabupaten nagekeo nage keo kabupaten provinsi nusa tenggara timur tepat pulau flores sektor pariwisata jenis industri cepat tumbuh ekonomi sedia lapang kerja wilayah kabupaten nagekeo milik potensi pariwisata wisata bahari wisata alam wisata kuliner utama kunjung wisatawan jalan lokasi wisata cari lintas rute jalan jalur alternative bangun information cari wisata kabupaten nagekeo user application mengunakan bahasa pemograman php javascripst google maps api basisdata mysql application tampil information objek wisata serta information jarak rute lokasi objek wisata tampil information fasilitas objek wisata atm spbu hotel cari objek wisata dekat information cari wisata user mudah user wisatawan cari information objek wisata kabupaten nagekeo', 'labu bajo kota kabupaten manggarai barat letak pulau flores nusa tenggara timur labu bajo simpan ragam indah wisata bahari dalam labu bajo kota destinasi wisata kenal hewan purba komodo resmi wonder nature pariwisata labu bajo bangun besar tahun labu bajo kunjung wisatawan wisatawan lokal indonesia wisatawan mancanegara banyak wisata tawar labu bajo wisatawan terkadang bingung tentu pilih wisata kunjung seringkali putus kunjung wisata kadangkala wisatawan wisata kunjung sesuai ingin wistawan kadang puas kunjung wisata wisatawan pilih wisata tuju sebab kurang information kembang teknologi pesat butuh wisatawan information rekomendasi wisata information cepat akurat bangun rekomendasi pariwisata rekomendasi wisata wisatawan rekomendasi item-based collaborative filtering cari sama item obyek wisata algoritma adjusted cosine similarity sama tinggi jadi acu beri rekomendasi bahasa pemrograman php laravel versi rekomendasi potensi wisata sesuai wisatawan rekomendasi information kait potensi wisata information decryption wisata foto alamat peta destinasi wisatawan mudah wisata sesuai wisatawan puas bantu']"
4,221,4_twitter_tweet_media sosial_opini,"['twitter', 'tweet', 'media sosial', 'opini', 'sentimen', 'sosial', 'komentar', 'analisis sentimen', 'negatif', 'netral']","['konflik israel palestina panas ujung agresi majelis ulama indonesia mui tetap fatwa mui nomor dukung juang palestina bentuk sikap tolak agresi israel palestina picu tanggap komentar masyarakat indonesia media sosial eksplorasi opini masyarakat indonesia kait isu analisis sentimen machine learning analisis sentimen opini masyarakat milik sentimen positif negatif netral sentimen opini masyarakat indonesia fatwa mui nomor banding model klasifikasi analisis sentimen tahap preprocessing label ekstraksi fitur klasifikasi evaluasi analisis post tweet media sosial twitter sumber label otomatis inset lexicon model support vector machine svm logistic regression klasifikasi ekstraksi fitur bag words tfidf word2vec skenario kombinasi algoritma klasifikasi ekstraksi fitur banding performa analisis sentimen analisis sentimen tweet topik fatwa mui nomor opini masyarakat indonesia media sosial twitter milik sentimen negatif sentimen positif sentimen netral evaluasi kombinasi performa baik model support vector machine svm ekstraksi fitur tfidf milik tingkat akurasi', 'analis sentimen masyarakat layan provider telkomsel media sosial kumpul tanggal januari april na ve bayes classifier klasifikasi sentimen masyarakat service provider telkomsel kelompok sentimen kategori positif negatif netral tahap analisis sentimen ambil tweet harvest label laxicon preprocessing cleaning case folding normalization tokenizing stopword removal stemming tweet klasifikasi na ve bayes classifier model confusion matrix tweet label preprocessing user media sosial komentar positif komentar netral komentar negatif terap na ve bayes classifier klasifikasi sentimen akurasi rasio model confusion matrix rata weighted average precision recall fi-score', 'analisis sentiment opini dapat presepsi kandung sentimen positif netral negatif jadi information information ambil media sosial postingan masyarakat media sosial analisis twitter mudah guna timbang agam alat tentu bijak opini masyarakat tes cpns opini dapat penyelenggaran tes cpns opini user twitter tes cpns dianalisa tentu pandang positif negatif netral isi opini masyarakat tes cpns text preprocessing cleansing stopword removal stemming na ve bayes classifier klasifikasi teks na ve bayes classifier akurasi klasifikasi tweet tes cpns klasifikasi na ve bayes classifier akurasi tes cpns']"
5,176,5_rumah sakit_pasien_rekam medis_puskesmas,"['rumah sakit', 'pasien', 'rekam medis', 'puskesmas', 'layan sehat', 'medis', 'rawat inap', 'rawat', 'dokter', 'sehat']","['manajemen information rumah sakit register manual contoh rumah sakit dinas sehat tentara soetarto yogyakarta kelola layan register manual akibat kurang akurat lambat kelola salah gantung tingkat sdm dampak kurang nilai masyarakat layan rumah sakit solusi selesai giat manajemen information rumah sakit maksimal guna website register pasien teliti bangun information nama sippo information register pasien online rumah sakit dinas sehat tentara soetarto yogyakarta tingkat efisiensi efektivitas layan rumah sakit bangun website sippo bootstrap frontend laravel backend mysql basis data bahasa pemrograman dukung php html javascript lebih kelola register pasien dokter poliklinik jadwal praktik service rawat jalan kelola sedia kamar rawat inap kirim notifikasi pasien sms chat whatsapp application sippo mudah pasien register service rawat jalan online bukti kuesioner tuju tuju netral pasien mudah information dokter jadwal praktik kuesioner tuju tuju sippo information sedia kelas kamar rawat inap bukti mudah pasien information kuesioner tuju tuju', 'rumah sakit organisasi tenaga medis professional teroganisir sarana dokter permanen selenggara layan sehat asuh awat sambung diagnosa obat sakit derita pasien fungsi utama sedia selenggara upaya sehat sifat sembuh kuratif pulih rehabilitasi pasien depkes application cloud ehealth dalam service content konten rawat jalan conectivity konektivitas registrasi pol apotek pasien dokter commerce biaya obat tebus resep obat community information sehat informasi rumah sakit pasien daftar reservasi antri online clinical care konsultasi pasien dokter computer application application rawat jalan cloud ehealth tunjang ehealth optimal manfaat tik cipta seragam mudah information online depan application integrasi unit layan sehat cloud computing simpul bangun application ehealth mudah pasien reservasi online fasilitas pasien informasi sehat fasilitas konsultasi online model sofware service saas mudah kembang', 'information rekam medis paru dokter awat kelola pasien paru serta simpan rekam medis pasien kunjung periksa pasien dokter awat asesmen asesmen awat asesmen medis pasien asesmen medis pasien anamnese periksa fisik periksa tunjang diagnosis tindak catat kembang tindak pasien rawat jalan rawat inap tangan pasien rekam medis rawat inap identitas rawat inap anamnese periksa fisik daftar foto thoraks kembang rekam medis paru ambil rumah sakit karsa husada batu kembang analisis butuh object oriented tahap analisis butuh butuh fungsional tahap implementasi kerangka laravel unit valid fungsionalitas validasi hasil valid fungsionalitas compatibility bukti jalan browser mozilla firefox internet explorer']"
6,160,6_bahan baku_baku_produksi_bahan,"['bahan baku', 'baku', 'produksi', 'bahan', 'supplier', 'supply chain', 'sedia bahan', 'gudang', 'supply', 'chain']","['riade sumber energi usaha produksi air mineral jenis cup botol galon produk hasil riade sumber energi pasar diaerah bandung timur usaha rangkai terima mesan agen mesan bahan baku supplier terima bahan baku supplier kelola bahan baku barang mesan bahan baku supplier milik jeda tunggu capai mesan bahan baku terima usaha gudang seringkali lambat terima bahan baku kurang stok produk agen terkadang mes produk usaha sulit tentu bahan baku siap penuh butuh pasok produk masalah atas atas masalah bangun information distribusi air mineral softride riade sumber energi supply chain management tuju mudah usaha tentu bahan baku siap penuh butuh pasok produk rencana produksi produksi jalan lancar hindar kurang kosong stok produk gudang riade sumber energi distribusi produk jalan lancar amal single exponential smoothing hitung tentu sedia produk safety stock riade sumber energi tentu bahan baku pes kendali produk bahan baku information kirim produk tuju mesan produk ada bahan baku', 'bakrin jaya usaha gerak bidang produksi pakai letak kabupaten bandung jawa barat bakrin jaya produksi t-shirt kaos polo shirt kemeja putih jas hujan ponco jual produk konsumen bulan tentu akibat produksi sulit bahan baku produk kirim tidak sesuai beli konsumen stock produk sedia gudang kurang kosong akibat durasi kirim butuh banding estimasi rim mesan jarak dekat tuju mudah manager produksi tentu bahan baku pes supplier penuh butuh produksi mudah manager gudang distribusi jadwal kirim distribusi produk jarak dekat strategi supply chain push supply chain dasar sesuai rantai pasok usaha strategi make-to-stock rantai pasok hulu upstream hilir downstream amal butuh bahan baku single exponenstial smoothing hitung prediksi dian bahan baku gudang aman sedia minimal stock kepala produksi tentu butuh bahan baku pes supplier utnuk penuh butuh produksi mudah kepala gudang rencana produk distribusi produk konsumen', 'asih hati furniture usaha gerak bidang industri kerja barang buat kayu barang jasa dagang utama produksi kursi meja lemari loster kusen pintu jendela produk kayu produksi asih hati furniture pesan konsumen asih hati furniture ada bahan baku supplier penuh butuh produk pes konsumen kira bahan baku pes seringkali sulit ketidakpastian minta produk konsumen bahan baku milik kategori bahan baku milik stok milik stok ada bahan baku supplier cek sedia bahan baku gudang cegah lebih kurang bahan baku masalah timbul jadwal kirim produk konsumen serta information kendara sedia bangun mudah ada tentu kira mesan bahan baku supplier mudah kirim atur jadwal kirim produk serta kendara sedia strategi supply chain pull supply chain mesan bahan baku produksi minta pasar benar minta konsumen make order amal minta produk single exponential smoothing hitung prediksi sedia bahan baku gudang guna aman sedia safety stock rencana belia bahan baku eoq jadwal kirim produk sesuai atur bisnis usaha kelola daftar pesan produk konsumen mesan bahan baku supplier tentu jadwal kirim serta kendara']"
7,158,7_application ecommerce_ecommerce_gambar model_distro,"['application ecommerce', 'ecommerce', 'gambar model', 'distro', 'toko', 'relationship diagram', 'entity relationship', 'diagram', 'erd', 'lapor jual']","['aneka hobby petshop toko jual lengkap hewan pelihara bangun application ecommerce acu manual jalan manual jalan jual konsumen toko aneka hobby petshop milik kendala promosi transaksi buat lapor jual manual lapor jual perinci bangun application ecommerce analisis bangun perangkat lunak waterfall alir struktur dfd flow diagram gambar model fungsional erd entity relationship diagram gambar model perangkat lunak bangun php database server mysql bayar transaksi paypal transfer rekening bank aman application pakai ip-dedicated ssl secure socket layer fiktur unggul smart recomemendasi tahap sesuai kembang implementasi ecommerce milik tindak alpha black box fokus syarat fungsional perangkat lunak beta lapang kuesioner pegawai toko aneka hobby petshop admin masyarakat user web muat tanya acu alpha beta tarik simpul fungsional output tampil website tarik mudah user olah', 'meds basic shophouse toko gerak bidang clothing sedia pakai sepatu tas milik jenis barang bawah brand bangun application ecommerce toko meds basic shophouse acu manual jalan manual jalan jual konsumen toko promosi transaksi buat lapor jual meds basic shophouse manual lapor jual perinci bangun application ecommerce kembang perangkat lunak waterfall alir struktur dfd flow diagram gambar model fungsional erd entity relationship diagram gambar model perangkat lunak bangun php database server mysql bayar transaksi paypal transfer rekening bank aman application pakai ip-dedicated ssl secure socket layer tahap sesuai kembang implementasi ecommerce milik tindak alpha black box fokus syarat fungsional perangkat lunak beta lapang kuesioner karyawan meds basic shophouse tugas admin masyarakat user web muat tanya acu alpha beta tarik simpul fungsional output tampil website tarik mudah user olah', 'batagoro store badan usaha gerak bidang lampu hias unik bangun ecommerce acu manual jalan manual jalan jual konsumen toko batagoro store milik kendala promosi transaksi buat lapor jual manual lapor jual perinci bangun ecommerce analisis bangun perangkat lunak waterfall alir struktur dfd flow diagram gambar model fungsional erd entity relationship diagram gambar model perangkat lunak bangun php database server mysql bayar transaksi paypal transfer rekening bank aman application pakai ip-dedicated ssl secure socket layer tahap sesuai kembang implementasi ecommerce milik tindak alpha black box fokus syarat fungsional perangkat lunak beta lapang kuesioner pegawai batagoro masyarakat user web muat tanya acu alpha beta tarik simpul fungsional output mudah konsumen beli produk toko batagoro store mudah user olah lapor']"
8,146,8_kakas bantu_kakas_kembang perangkat_kode,"['kakas bantu', 'kakas', 'kembang perangkat', 'kode', 'perangkat lunak', 'chunk', 'lunak', 'kualitas perangkat', 'kode sumber', 'class']","['konsep object oriented programming oop pemrograman pusat objek konsep oop ukur kualitas perangkat lunak hubung objek kopling perangkat lunak perangkat lunak milik desain ciri milik kopling kopling sebab desain perangkat lunak kompleks akibat sulit paham maintenance tingkat kualitas perangkat lunak kontrol kopling minimal kompleksitas perangkat lunak hitung kopling manual perangkat lunak butuh sumber daya buat kakas bantu hitung kopling metrik cognitive weighted coupling object cwcbo metrik cwcbo metrik kopling dasar bobot paham hitung beda jenis kopling teliti kakas bantu bahasa pemrograman utama java library spoon analis source code library jfreechart tampil grafik akurasi inputan bahasa java akurasi akurasi banding hitung manual', 'perangkat lunak kualitas perangkat lunak milik defisiensi kode beranic dkk judul towards reliable identification deficient code combination software metrics guna kombinasi delapan jenis metrik perangkat lunak orientasi objek deteksi defisiensi kode perangkat lunak deteksi defisiensi kode hitung kualitas kode quality rate acu buruk perangkat lunak hitung metrik kakas bantu pisah hitung kualitas kode butuh sumber daya bangun kakas bantu hitung kualitas kode metrik perangkat lunak bangun kakas bantu siklus hidup perangkat lunak waterfall bahasa pemrograman java kakas bantu jalan desktop berkas proyek java masuk kakas bantu butuh fungsional butuh non-fungsional ancang kakas bantu orientasi objek class diagram sequence diagram rancang algoritme rancang antarmuka implementasi kakas bantu sesuai rancang library javafx astparser white-box black-box kakas bantu milik persentase validasi', 'software maintenance tahap kembang perangkat lunak butuh usaha biaya sebab masalah tahap maintenance kualitas perangkat lunak faktor tentu kualitas perangkat lunak tinggi kompleksitas perangkat lunak developer sulit paham perangkat lunak pelihara ubah kompleksitas upaya atas masalah tentu konsep kembang perangkat lunak sesuai orientasi objek pemrograman orientasi objek guna inheritance encapsulation coupling polymorphism lain mudah developer bangun perangkat lunak tingkat kualitas andal perangkat lunak guna inheritance akibat tinggi kompleksitas kompleksitas perangkat lunak pantau tahap implementasi tahap maintenance optimal satu software metric hitung kompleksitas hitung kompleksitas manual perangkat lunak butuh upaya sumber daya manusia benar paham model hitung buat kakas bantu hitung kompleksitas perangkat lunak metrik cognitive weighted inherited class complexity cwicc metrik cwicc metrik kompleksitas perangkat lunak hitung kompleksitas bobot paham struktur internal kelas attribute inheritance kelas bahasa pemrograman java white box basis path unit integrasi validasi blackbox milik tingkat akurasi hitung kompleksitas rata cepat banding hitung manual']"
