Topic,Words,Frequency,Timestamp
-1,"ecommerce, diagram, application ecommerce, dfd, flow diagram",278,2012.988
0,"elearning, guru, ajar ajar, guru siswa, materi ajar",145,2012.988
1,"application main, application game, game, musuh, game edukasi",82,2012.988
2,"kedelai, tani, sumatera, lahan, hama sakit",15,2012.988
3,"objek wisata, turis, tourism, wisata, guide",19,2012.988
4,"css, desain website, ubuntu, lift ratio, lift",6,2012.988
5,"tweet, pesan singkat, stemming, morfologi, kategori kategori",2,2012.988
6,"creation, pasok, prima, supplier, bogor",16,2012.988
7,"ruas jalan, rencana bangun, ruas, duduk desa, bappeda",12,2012.988
8,"kerja karyawan, calon pegawai, dss, sub, karyawan",20,2012.988
9,"film, download, gadget, tayang, smartphone",15,2012.988
10,"olahraga, fitness, panel, bugar, departemen",6,2012.988
11,"ehealth, dinas sehat, puskesmas, klinik, sehat",14,2012.988
12,"macet, bentuk peta, information sumber, mining algoritma, peta",1,2012.988
13,"kuliner, produktifitas, rangkai, praktikum, projek",2,2012.988
14,"lihat, forward chaining, chaining, balita, forward",5,2012.988
15,"kacamata, augmented reality, augmented, realitas, reality",5,2012.988
16,"wayang kulit, viola, jones, training training, sel",5,2012.988
17,"iklan, daily, lelang, ecommerce, katalog",13,2012.988
18,"string, eja, text, feature selection, struktur kalimat",2,2012.988
19,"ruang warna, marker, deteksi marker, segmentasi citra, antuk",5,2012.988
20,"arab, doa, bahasa arab, hafal, islam",15,2012.988
22,"gambar model, ecommerce, application ecommerce, diagram, toko",98,2012.988
24,"missing value, missing, klasifikasi kualitas, value, obyektif",3,2012.988
25,"futsal, information akuntansi, manajerial, akuntansi, lapang",5,2012.988
26,"momentum, profit, variasi latih, saham, backpropagation",3,2012.988
27,"jitter, first first, first, fifo, rem",1,2012.988
28,"firewall, flood, ancam, port, embedded",7,2012.988
30,"tunai, bayar uang, information sarana, siswa tua, barcode",1,2012.988
31,"tebu, algoritma fuzzy, atur asosiasi, fuzzy inference, atur atur",9,2012.988
32,"kbps, ptiik, bit, bandwith, aes",5,2012.988
33,"sunda, aksara, mandarin, bahasa inggris, inggris",5,2012.988
34,"ternak, sakit tular, sakit serang, pakar user, pemrograman mysql",1,2012.988
35,"isolation, hierarchical, algoritma cari, nodes, list",8,2012.988
36,"robot, representasi tahu, meja, sandang, antar",1,2012.988
37,"orm, query, object, query language, object oriented",2,2012.988
39,"customer service, cerita rakyat, beli barang, rakyat, produktifitas",5,2012.988
41,"jadwal ajar, genetic algorithm, genetic, crossover probabilitas, perhati aspek",2,2012.988
42,"encryption, plaintext, cryptography, embedded, algoritma cryptography",9,2012.988
43,"sambung, periksa, back end, kabupaten bandung, momentum",2,2012.988
44,"sejarah, budaya, budaya indonesia, bangsa indonesia, juang",11,2012.988
45,"spectral, laki perempuan, fourier, laki, gender",2,2012.988
46,"rencana laksana, proyek, manajemen proyek, laksana giat, cepat hitung",4,2012.988
47,"bengkel, floydwarshall, daftar butuh, mobilitas, transportasi",2,2012.988
48,"makan sehat, menu makan, butuh gizi, makan konsumsi, makan ringan",2,2012.988
50,"dealer, lift, rule, lift ratio, rule hasil",4,2012.988
